Key,Source,Context,English
statDiseaseResist,stats,Stat,Disease Resistance
statStaminaEfficiency,stats,Stat,Stamina Efficiency
statDehydrationRate,stats,Stat,Extra Water Loss per Stamina Point
buffHeatResist,buffs,Buff,Heat Resistance
buffHeatResistDesc,buffs,Buff,Increased resistance to hot temperatures.
statColdResistance,stats,Stat,Cold Resistance
statHeatResistance,stats,Stat,Heat Resistance
buffStaminaEfficiency,buffs,Buff,Stamina Efficiency
buffStaminaEfficiencyDesc,buffs,Buff,Reduced food and water consumption when using stamina.
buffStimulantBoost,buffs,Buff,Gunpowder Boost
buffStimulantBoostDesc,buffs,Buff,"A dangerous mixture of coffee and gunpowder provides extra stimulation at the cost of increased dehydration."
